"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","New_Date"
"ABDUL","HADI","w","MAS","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","BB",76,4.8,6.766,NA,11.566,"Jul 2021"
"ABDUL","HADI","w","MAS","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","FX",64,4.6,7.633,NA,12.233,"Jul 2021"
"ABDUL","HADI","w","MAS","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","UE",74,5.1,6.5,NA,11.6,"Jul 2021"
"ABDUL","HADI","w","MAS","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","VT",72,4.6,8.566,NA,13.166,"Jul 2021"
"ABDUL HADI","Farah Ann","w","MAS","25-Jul-21","Olympic Games","qual","Tokyo, Japan","BB",76,4.8,6.766,NA,11.566,"Jul 2021"
"ABDUL HADI","Farah Ann","w","MAS","25-Jul-21","Olympic Games","qual","Tokyo, Japan","FX",64,4.6,7.633,NA,12.233,"Jul 2021"
"ABDUL HADI","Farah Ann","w","MAS","25-Jul-21","Olympic Games","qual","Tokyo, Japan","UE",74,5.1,6.5,NA,11.6,"Jul 2021"
"ADLERTEG","Jonna","w","SWE","25-Jul-21","Olympic Games","qual","Tokyo, Japan","UE",12,6.3,8.233,NA,14.533,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","BB",59,5.1,7.166,NA,12.266,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","25-Jul-21","Olympic Games","qual","Tokyo, Japan","BB",59,5.1,7.166,NA,12.266,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","25-Jul-21","Olympic Games","TeamQual","Tokyo, Japan","BB",NA,5.1,7.166,NA,12.266,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","FX",11,5.8,7.833,NA,13.633,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","25-Jul-21","Olympic Games","qual","Tokyo, Japan","FX",11,5.8,7.833,NA,13.633,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","25-Jul-21","Olympic Games","TeamQual","Tokyo, Japan","FX",NA,5.8,7.833,NA,13.633,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","25-Jul-21","Olympic Games","TeamQual","Tokyo, Japan","UB",NA,5.4,7.5,NA,12.9,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","UE",49,5.4,7.5,NA,12.9,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","25-Jul-21","Olympic Games","qual","Tokyo, Japan","UE",49,5.4,7.5,NA,12.9,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","VT",10,5.8,8.966,NA,14.766,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","25-Jul-21","Olympic Games","TeamQual","Tokyo, Japan","VT",NA,5.8,8.966,NA,14.766,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","1-Aug-21","Olympic Games","TeamFinal","Tokyo, Japan","VT",NA,5.8,8.933,NA,14.733,"Aug 2021"
"AKHAIMOVA","Liliia","w","ROC","25-Jul-21","Olympic Games","qual","Tokyo, Japan","VT1",7,5.8,8.966,NA,14.766,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","1-Aug-21","Olympic Games","final","Tokyo, Japan","VT1",6,5.8,8.866,0.1,14.666,"Aug 2021"
"AKHAIMOVA","Liliia","w","ROC","25-Jul-21","Olympic Games","qual","Tokyo, Japan","VT2",7,5.6,9.033,NA,14.633,"Jul 2021"
"AKHAIMOVA","Liliia","w","ROC","1-Aug-21","Olympic Games","final","Tokyo, Japan","VT2",6,5.6,9.066,NA,14.666,"Aug 2021"
"ALVARADO","Luciana","w","CRC","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","BB",37,5.3,7.666,NA,12.966,"Jul 2021"
"ALVARADO","Luciana","w","CRC","25-Jul-21","Olympic Games","qual","Tokyo, Japan","BB",37,5.3,7.666,NA,12.966,"Jul 2021"
"ALVARADO","Luciana","w","CRC","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","FX",66,4.7,7.466,NA,12.166,"Jul 2021"
"ALVARADO","Luciana","w","CRC","25-Jul-21","Olympic Games","qual","Tokyo, Japan","FX",66,4.7,7.466,NA,12.166,"Jul 2021"
"ALVARADO","Luciana","w","CRC","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","UE",55,4.9,7.841,NA,12.741,"Jul 2021"
"ALVARADO","Luciana","w","CRC","25-Jul-21","Olympic Games","qual","Tokyo, Japan","UE",55,4.9,7.841,NA,12.741,"Jul 2021"
"ALVARADO","Luciana","w","CRC","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","VT",59,4.6,8.833,NA,13.433,"Jul 2021"
"ANDRADE","Rebeca","w","BRA","THU 29 JUL 2021","Olympic Games","AAfinal","Tokyo, Japan","BB",5,5.7,7.966,NA,13.666,"Jul 2021"
"ANDRADE","Rebeca","w","BRA","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","BB",18,5.8,7.933,NA,13.733,"Jul 2021"
"ANDRADE","Rebeca","w","BRA","25-Jul-21","Olympic Games","qual","Tokyo, Japan","BB",18,5.8,7.933,NA,13.733,"Jul 2021"
"ANDRADE","Rebeca","w","BRA","THU 29 JUL 2021","Olympic Games","AAfinal","Tokyo, Japan","FX",7,5.9,8.166,0.4,13.666,"Jul 2021"
"ANDRADE","Rebeca","w","BRA","SUN 25 JUL 2021","Olympic Games","AAqual","Tokyo, Japan","FX",4,5.7,8.366,NA,14.066,"Jul 2021"
"ANDRADE","Rebeca","w","BRA","25-Jul-21","Olympic Games","qual","Tokyo, Japan","FX",4,5.7,8.366,NA,14.066,"Jul 2021"
